index,X,Y,Z,X2,Y2,Z2
0,3.438646e-03,3.795608e-03,-1.571955e-04,1.395203e+00,7.628856e-02,-3.279493e-02
1,3.408859e-03,3.877442e-03,-1.565921e-04,1.392836e+00,2.610931e-01,-2.886600e-02
2,3.376796e-03,3.958956e-03,-1.559485e-04,1.345542e+00,4.435572e-01,-2.388350e-02
3,3.349286e-03,4.041110e-03,-1.553853e-04,1.388103e+00,6.307021e-01,-2.100814e-02
4,3.314947e-03,4.122304e-03,-1.547016e-04,1.295882e+00,8.108259e-01,-1.497207e-02
5,3.289713e-03,4.204777e-03,-1.541785e-04,1.383370e+00,1.000311e+00,-1.315027e-02
6,3.253098e-03,4.285651e-03,-1.534546e-04,1.246221e+00,1.178095e+00,-6.060632e-03
7,3.230141e-03,4.368445e-03,-1.529717e-04,1.378637e+00,1.369920e+00,-5.292412e-03
8,3.191248e-03,4.448999e-03,-1.522076e-04,1.196560e+00,1.545363e+00,2.850800e-03
9,3.170568e-03,4.532112e-03,-1.517649e-04,1.373904e+00,1.739529e+00,2.565450e-03
10,3.129399e-03,4.612347e-03,-1.509607e-04,1.146900e+00,1.912632e+00,1.176223e-02
11,3.110995e-03,4.695780e-03,-1.505581e-04,1.369171e+00,2.109138e+00,1.042331e-02
12,3.067549e-03,4.775695e-03,-1.497137e-04,1.097239e+00,2.279901e+00,2.067367e-02
13,3.051422e-03,4.859447e-03,-1.493513e-04,1.364438e+00,2.478747e+00,1.828117e-02
14,3.005700e-03,4.939042e-03,-1.484667e-04,1.047578e+00,2.647169e+00,2.958510e-02
15,2.991849e-03,5.023115e-03,-1.481445e-04,1.359705e+00,2.848356e+00,2.613904e-02
16,2.943850e-03,5.102390e-03,-1.472198e-04,9.979177e-01,3.014438e+00,3.849653e-02
17,2.932276e-03,5.186782e-03,-1.469377e-04,1.354972e+00,3.217965e+00,3.399690e-02
18,2.882001e-03,5.265738e-03,-1.459728e-04,9.482571e-01,3.381707e+00,4.740796e-02
19,2.872703e-03,5.350450e-03,-1.457309e-04,1.350238e+00,3.587574e+00,4.185476e-02
20,2.820151e-03,5.429085e-03,-1.447258e-04,8.985964e-01,3.748975e+00,5.631940e-02
21,2.813130e-03,5.514117e-03,-1.445241e-04,1.345505e+00,3.957183e+00,4.971262e-02
22,2.758302e-03,5.592433e-03,-1.434788e-04,8.489358e-01,4.116244e+00,6.523083e-02
23,2.753557e-03,5.677785e-03,-1.433173e-04,1.340772e+00,4.326792e+00,5.757049e-02
24,2.696452e-03,5.755781e-03,-1.422319e-04,7.992751e-01,4.483513e+00,7.414226e-02
25,2.693984e-03,5.841453e-03,-1.421105e-04,1.336039e+00,4.696401e+00,6.542835e-02
26,2.634603e-03,5.919129e-03,-1.409849e-04,7.496145e-01,4.850781e+00,8.305369e-02
27,2.634411e-03,6.005120e-03,-1.409037e-04,1.331306e+00,5.066010e+00,7.328621e-02
28,2.572754e-03,6.082476e-03,-1.397379e-04,6.999538e-01,5.218050e+00,9.196513e-02
29,2.574838e-03,6.168788e-03,-1.396969e-04,1.326573e+00,5.435619e+00,8.114407e-02
30,2.510904e-03,6.245824e-03,-1.384910e-04,6.502932e-01,5.585319e+00,1.008766e-01
31,2.515265e-03,6.332455e-03,-1.384901e-04,1.321840e+00,5.805228e+00,8.900193e-02
32,2.449055e-03,6.409172e-03,-1.372440e-04,6.006326e-01,5.952587e+00,1.097880e-01
33,2.455692e-03,6.496123e-03,-1.372833e-04,1.317107e+00,6.174837e+00,9.685980e-02
34,2.387205e-03,6.572519e-03,-1.359970e-04,5.509719e-01,6.319856e+00,1.186994e-01
35,2.396119e-03,6.659790e-03,-1.360765e-04,1.312374e+00,6.544446e+00,1.047177e-01
36,2.325356e-03,6.735867e-03,-1.347501e-04,5.013113e-01,6.687125e+00,1.276109e-01
37,2.336546e-03,6.823458e-03,-1.348697e-04,1.307641e+00,6.914055e+00,1.125755e-01
38,2.263506e-03,6.899215e-03,-1.335031e-04,4.516506e-01,7.054394e+00,1.365223e-01
39,2.276973e-03,6.987125e-03,-1.336629e-04,1.302907e+00,7.283664e+00,1.204334e-01
40,2.201657e-03,7.062563e-03,-1.322561e-04,4.019900e-01,7.421662e+00,1.454337e-01
41,2.217400e-03,7.150793e-03,-1.324561e-04,1.298174e+00,7.653273e+00,1.282912e-01
42,2.139807e-03,7.225910e-03,-1.310092e-04,3.523293e-01,7.788931e+00,1.543452e-01
43,2.157827e-03,7.314460e-03,-1.312493e-04,1.293441e+00,8.022882e+00,1.361491e-01
44,2.077958e-03,7.389258e-03,-1.297622e-04,3.026687e-01,8.156200e+00,1.632566e-01
45,2.098254e-03,7.478128e-03,-1.300425e-04,1.288708e+00,8.392492e+00,1.440070e-01
46,2.016109e-03,7.552606e-03,-1.285152e-04,2.530080e-01,8.523468e+00,1.721680e-01
47,2.038681e-03,7.641796e-03,-1.288357e-04,1.283975e+00,8.762101e+00,1.518648e-01
48,1.954259e-03,7.715953e-03,-1.272683e-04,2.033474e-01,8.890737e+00,1.810795e-01
49,1.979108e-03,7.805463e-03,-1.276289e-04,1.279242e+00,9.131710e+00,1.597227e-01
50,1.892410e-03,7.879301e-03,-1.260213e-04,1.536867e-01,9.258006e+00,1.899909e-01
51,1.919535e-03,7.969131e-03,-1.264221e-04,1.274509e+00,9.501319e+00,1.675806e-01
52,1.830560e-03,8.042649e-03,-1.247743e-04,1.040261e-01,9.625274e+00,1.989023e-01
53,1.859962e-03,8.132798e-03,-1.252153e-04,1.269776e+00,9.870928e+00,1.754384e-01
54,1.768711e-03,8.205996e-03,-1.235274e-04,5.436542e-02,9.992543e+00,2.078137e-01
55,1.800389e-03,8.296466e-03,-1.240085e-04,1.265043e+00,1.024054e+01,1.832963e-01
56,1.706861e-03,8.369344e-03,-1.222804e-04,4.704774e-03,1.035981e+01,2.167252e-01
57,1.740816e-03,8.460133e-03,-1.228017e-04,1.260310e+00,1.061015e+01,1.911541e-01
58,1.645012e-03,8.532692e-03,-1.210334e-04,-4.495587e-02,1.072708e+01,2.256366e-01
59,1.681243e-03,8.623801e-03,-1.215949e-04,1.255576e+00,1.097975e+01,1.990120e-01
60,1.583162e-03,8.696040e-03,-1.197864e-04,-9.461652e-02,1.109435e+01,2.345480e-01
61,1.621671e-03,8.787468e-03,-1.203881e-04,1.250843e+00,1.134936e+01,2.068699e-01
62,1.521313e-03,8.859387e-03,-1.185395e-04,-1.442772e-01,1.146162e+01,2.434595e-01
63,1.562098e-03,8.951136e-03,-1.191813e-04,1.246110e+00,1.171897e+01,2.147277e-01
64,1.459463e-03,9.022735e-03,-1.172925e-04,-1.939378e-01,1.182889e+01,2.523709e-01
